candidate_id,skills,experience_years,education,location,salary_expectation
0,"Python,Docker,Scikit-learn",3,Bachelor,Haifa,15358
1,"Excel,PyTorch,Python",0,High School,Haifa,19623
2,"Tableau,NumPy,Docker",10,PhD,Haifa,26719
3,"Git,Python,Pandas,PyTorch,TensorFlow",4,Bachelor,Haifa,23029
4,"SQL,PyTorch,Spark",5,Master,Jerusalem,13423
5,"Tableau,SQL,PyTorch,Git,Spark,Scikit-learn",10,Master,Haifa,14279
6,"AWS,NumPy,Scikit-learn",1,Bachelor,Tel Aviv,24455
7,"Power BI,AWS,TensorFlow,Pandas,Docker",5,Bachelor,Jerusalem,14339
8,"Tableau,Docker,NumPy,Pandas",7,PhD,Jerusalem,19196
9,"Spark,Git,Python,NumPy,Docker",5,PhD,Jerusalem,14168
10,"Excel,Docker,TensorFlow,NumPy",10,PhD,Remote,27035
11,"Scikit-learn,Pandas,NumPy,Tableau",8,Master,Remote,25087
12,"NumPy,Pandas,Tableau,Power BI,SQL",0,High School,Haifa,17242
13,"Excel,SQL,PyTorch,Docker,Spark,Power BI",8,Master,Tel Aviv,15753
14,"Git,AWS,TensorFlow,SQL,Scikit-learn",6,Bachelor,Remote,12106
15,"Tableau,Git,Pandas,Spark,SQL",10,Master,Haifa,17008
16,"Git,Pandas,Tableau,Docker,Python",9,Master,Remote,12638
17,"TensorFlow,Git,Scikit-learn",3,High School,Haifa,14580
18,"Docker,Power BI,SQL",8,Bachelor,Haifa,27574
19,"Scikit-learn,Tableau,Excel,PyTorch",3,Bachelor,Jerusalem,25074
20,"Power BI,Tableau,Spark,SQL,NumPy",3,High School,Jerusalem,12689
21,"Excel,NumPy,Python,SQL",10,High School,Haifa,14208
22,"Spark,TensorFlow,SQL",8,Bachelor,Jerusalem,27906
23,"Tableau,Pandas,Docker,Excel",9,PhD,Haifa,27498
24,"NumPy,SQL,Git,AWS,PyTorch,TensorFlow",6,PhD,Remote,13775
25,"Python,PyTorch,Docker",5,High School,Haifa,18278
26,"Tableau,Power BI,Pandas,PyTorch",2,Master,Remote,20185
27,"Power BI,Git,Tableau",1,High School,Tel Aviv,15056
28,"Pandas,PyTorch,Power BI,Docker",3,PhD,Tel Aviv,17394
29,"Python,PyTorch,Scikit-learn,Power BI,Docker,Git",8,PhD,Haifa,18222
30,"NumPy,Python,Excel,Tableau,Git",5,High School,Tel Aviv,27623
