job_id,required_skills,min_experience,education_required,location,salary_offer
0,"Spark,NumPy,PyTorch,Python,AWS,Scikit-learn",1,Bachelor,Jerusalem,29212
1,"Power BI,SQL,Git,Tableau,NumPy,Spark",2,PhD,Jerusalem,19287
2,"Spark,Python,Excel,SQL",2,Master,Tel Aviv,31519
3,"Pandas,SQL,AWS,Python,Scikit-learn,Spark",7,Master,Haifa,21099
4,"AWS,Tableau,NumPy",7,High School,Tel Aviv,26799
5,"Power BI,Python,Excel,Git,AWS",6,Bachelor,Haifa,26276
6,"NumPy,SQL,Python,PyTorch",0,High School,Jerusalem,20296
7,"NumPy,SQL,AWS",2,Bachelor,Tel Aviv,27621
8,"Spark,TensorFlow,Git",8,Bachelor,Haifa,31750
9,"PyTorch,SQL,NumPy,Docker,Git,TensorFlow",5,Bachelor,Tel Aviv,27177
10,"Python,PyTorch,NumPy,Power BI,Docker",1,Master,Jerusalem,15439
11,"NumPy,PyTorch,Scikit-learn",7,High School,Haifa,22255
12,"Excel,TensorFlow,AWS",6,Bachelor,Jerusalem,19745
13,"Spark,AWS,Power BI,SQL,TensorFlow",0,PhD,Remote,30745
14,"Tableau,Excel,Docker,Python",3,High School,Tel Aviv,24120
15,"Docker,PyTorch,NumPy,Excel",1,High School,Haifa,26272
16,"Scikit-learn,NumPy,Pandas,PyTorch,Git,Python",3,PhD,Jerusalem,18399
17,"TensorFlow,AWS,Python,Tableau,PyTorch",4,High School,Haifa,24855
18,"NumPy,Spark,Tableau,Python,Git",3,PhD,Jerusalem,20014
19,"AWS,Python,SQL,Power BI,Docker,NumPy",0,Bachelor,Haifa,18114
20,"Pandas,Excel,Tableau",3,Bachelor,Tel Aviv,27967
21,"Scikit-learn,Pandas,Docker,NumPy,AWS,PyTorch",2,Bachelor,Jerusalem,23350
22,"AWS,NumPy,Scikit-learn,Power BI,SQL,TensorFlow",6,PhD,Haifa,29424
23,"PyTorch,Tableau,Excel,Spark,Pandas,Power BI",0,PhD,Remote,16727
24,"Excel,Tableau,Pandas,Git,Docker",4,PhD,Remote,24022
25,"Scikit-learn,PyTorch,Tableau,Excel,Power BI,SQL",5,Bachelor,Remote,20413
26,"NumPy,Python,Git,Tableau",5,PhD,Remote,27625
27,"Docker,TensorFlow,PyTorch,Power BI,Scikit-learn,SQL",6,High School,Tel Aviv,26609
28,"NumPy,Git,PyTorch,Scikit-learn",5,PhD,Jerusalem,15890
29,"PyTorch,Docker,NumPy,Git,Power BI,Python",5,High School,Haifa,22563
30,"AWS,Pandas,Scikit-learn,NumPy,Excel,Git",0,High School,Tel Aviv,26594
